Date,Year,Month,MonthName,Quarter,Day,DayOfWeek,DateKey
2019-01-01,2019,1,January,1,1,Tuesday,1
2019-01-02,2019,1,January,1,2,Wednesday,2
2019-01-03,2019,1,January,1,3,Thursday,3
2019-01-04,2019,1,January,1,4,Friday,4
2019-01-05,2019,1,January,1,5,Saturday,5
2019-01-06,2019,1,January,1,6,Sunday,6
2019-01-07,2019,1,January,1,7,Monday,7
2019-01-08,2019,1,January,1,8,Tuesday,8
2019-01-09,2019,1,January,1,9,Wednesday,9
2019-01-10,2019,1,January,1,10,Thursday,10
2019-01-11,2019,1,January,1,11,Friday,11
2019-01-12,2019,1,January,1,12,Saturday,12
2019-01-13,2019,1,January,1,13,Sunday,13
2019-01-14,2019,1,January,1,14,Monday,14
2019-01-15,2019,1,January,1,15,Tuesday,15
2019-01-16,2019,1,January,1,16,Wednesday,16
2019-01-17,2019,1,January,1,17,Thursday,17
2019-01-18,2019,1,January,1,18,Friday,18
2019-01-19,2019,1,January,1,19,Saturday,19
2019-01-20,2019,1,January,1,20,Sunday,20
2019-01-21,2019,1,January,1,21,Monday,21
2019-01-22,2019,1,January,1,22,Tuesday,22
2019-01-23,2019,1,January,1,23,Wednesday,23
2019-01-24,2019,1,January,1,24,Thursday,24
2019-01-25,2019,1,January,1,25,Friday,25
2019-01-26,2019,1,January,1,26,Saturday,26
2019-01-27,2019,1,January,1,27,Sunday,27
2019-01-28,2019,1,January,1,28,Monday,28
2019-01-29,2019,1,January,1,29,Tuesday,29
2019-01-30,2019,1,January,1,30,Wednesday,30
2019-01-31,2019,1,January,1,31,Thursday,31
2019-02-01,2019,2,February,1,1,Friday,32
2019-02-02,2019,2,February,1,2,Saturday,33
2019-02-03,2019,2,February,1,3,Sunday,34
2019-02-04,2019,2,February,1,4,Monday,35
2019-02-05,2019,2,February,1,5,Tuesday,36
2019-02-06,2019,2,February,1,6,Wednesday,37
2019-02-07,2019,2,February,1,7,Thursday,38
2019-02-08,2019,2,February,1,8,Friday,39
2019-02-09,2019,2,February,1,9,Saturday,40
2019-02-10,2019,2,February,1,10,Sunday,41
2019-02-11,2019,2,February,1,11,Monday,42
2019-02-12,2019,2,February,1,12,Tuesday,43
2019-02-13,2019,2,February,1,13,Wednesday,44
2019-02-14,2019,2,February,1,14,Thursday,45
2019-02-15,2019,2,February,1,15,Friday,46
2019-02-16,2019,2,February,1,16,Saturday,47
2019-02-17,2019,2,February,1,17,Sunday,48
2019-02-18,2019,2,February,1,18,Monday,49
2019-02-19,2019,2,February,1,19,Tuesday,50
2019-02-20,2019,2,February,1,20,Wednesday,51
2019-02-21,2019,2,February,1,21,Thursday,52
2019-02-22,2019,2,February,1,22,Friday,53
2019-02-23,2019,2,February,1,23,Saturday,54
2019-02-24,2019,2,February,1,24,Sunday,55
2019-02-25,2019,2,February,1,25,Monday,56
2019-02-26,2019,2,February,1,26,Tuesday,57
2019-02-27,2019,2,February,1,27,Wednesday,58
2019-02-28,2019,2,February,1,28,Thursday,59
2019-03-01,2019,3,March,1,1,Friday,60
2019-03-02,2019,3,March,1,2,Saturday,61
2019-03-03,2019,3,March,1,3,Sunday,62
2019-03-04,2019,3,March,1,4,Monday,63
2019-03-05,2019,3,March,1,5,Tuesday,64
2019-03-06,2019,3,March,1,6,Wednesday,65
2019-03-07,2019,3,March,1,7,Thursday,66
2019-03-08,2019,3,March,1,8,Friday,67
2019-03-09,2019,3,March,1,9,Saturday,68
2019-03-10,2019,3,March,1,10,Sunday,69
2019-03-11,2019,3,March,1,11,Monday,70
2019-03-12,2019,3,March,1,12,Tuesday,71
2019-03-13,2019,3,March,1,13,Wednesday,72
2019-03-14,2019,3,March,1,14,Thursday,73
2019-03-15,2019,3,March,1,15,Friday,74
2019-03-16,2019,3,March,1,16,Saturday,75
2019-03-17,2019,3,March,1,17,Sunday,76
2019-03-18,2019,3,March,1,18,Monday,77
2019-03-19,2019,3,March,1,19,Tuesday,78
2019-03-20,2019,3,March,1,20,Wednesday,79
2019-03-21,2019,3,March,1,21,Thursday,80
2019-03-22,2019,3,March,1,22,Friday,81
2019-03-23,2019,3,March,1,23,Saturday,82
2019-03-24,2019,3,March,1,24,Sunday,83
2019-03-25,2019,3,March,1,25,Monday,84
2019-03-26,2019,3,March,1,26,Tuesday,85
2019-03-27,2019,3,March,1,27,Wednesday,86
2019-03-28,2019,3,March,1,28,Thursday,87
2019-03-29,2019,3,March,1,29,Friday,88
2019-03-30,2019,3,March,1,30,Saturday,89
2019-03-31,2019,3,March,1,31,Sunday,90
2019-04-01,2019,4,April,2,1,Monday,91
2019-04-02,2019,4,April,2,2,Tuesday,92
2019-04-03,2019,4,April,2,3,Wednesday,93
2019-04-04,2019,4,April,2,4,Thursday,94
2019-04-05,2019,4,April,2,5,Friday,95
2019-04-06,2019,4,April,2,6,Saturday,96
2019-04-07,2019,4,April,2,7,Sunday,97
2019-04-08,2019,4,April,2,8,Monday,98
2019-04-09,2019,4,April,2,9,Tuesday,99
2019-04-10,2019,4,April,2,10,Wednesday,100
2019-04-11,2019,4,April,2,11,Thursday,101
2019-04-12,2019,4,April,2,12,Friday,102
2019-04-13,2019,4,April,2,13,Saturday,103
2019-04-14,2019,4,April,2,14,Sunday,104
2019-04-15,2019,4,April,2,15,Monday,105
2019-04-16,2019,4,April,2,16,Tuesday,106
2019-04-17,2019,4,April,2,17,Wednesday,107
2019-04-18,2019,4,April,2,18,Thursday,108
2019-04-19,2019,4,April,2,19,Friday,109
2019-04-20,2019,4,April,2,20,Saturday,110
2019-04-21,2019,4,April,2,21,Sunday,111
2019-04-22,2019,4,April,2,22,Monday,112
2019-04-23,2019,4,April,2,23,Tuesday,113
